Species	A-0-2	A-0-3	A-0-4	A-0-5	A-3-2	A-3-3	A-3-4	A-3-5	A-4-2	A-4-3	A-4-4	A-4-5	A-5-2	A-5-3	A-5-4	A-5-5	A-6-2	A-6-3	A-6-4	A-6-5	B-0-1	B-0-2	B-0-3	B-0-5	B-3-1	B-3-2	B-3-3	B-3-5	B-4-1	B-4-2	B-4-3	B-4-5	B-5-1	B-5-2	B-5-3	B-5-5	B-6-1	B-6-2	B-6-3	B-6-5
species011	0.010869565	0	0.003623188	0.007246377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003623188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species012	0	0.007751938	0	0.003875969	0	0	0	0	0	0	0	0	0	0	0	0.007751938	0	0	0	0	0	0	0	0	0	0	0	0	0.003875969	0	0	0	0	0	0	0	0	0.003875969	0	0
species013	0.003831418	0	0.007662835	0	0	0	0	0	0	0	0.007662835	0	0.007662835	0	0	0	0	0	0	0	0.003831418	0	0	0.011494253	0	0	0.003831418	0	0	0	0	0	0	0	0	0	0	0	0	0
species014	0.003076923	0.003076923	0.012307692	0.018461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012307692	0.006153846	0	0.009230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species015	0.002570694	0	0.007712082	0.002570694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species016	0	0	0	0	0	0	0	0	0.00931677	0	0.00621118	0.00621118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00310559	0	0	0	0.00310559	0	0	0	0	0
species017	0.005128205	0.005128205	0.012820513	0.002564103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species018	0	0	0.011152416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033234435	0.003717472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003154574	0
species019	0	0.008810573	0	0	0.039095468	0.020815089	0.046299568	0.032779646	0.034612299	0.048127628	0.054583713	0.025399098	0.045215236	0.043274063	0.007462687	0.059684062	0.039320948	0.035272045	0.03699968	0.021685677	0.003773585	0.003115265	0	0	0.027173422	0.022062005	0.044049434	0.019384317	0.025376752	0.025295065	0.027633699	0.027255096	0.009697711	0.029214126	0.026086592	0.035627602	0.009697711	0.01418979	0.029697042	0.044483625
species020	0.364660759	0.441736681	0.404270404	0.347694446	0.008829738	0.001821494	0.010890979	0.009117594	0.015458203	0.000768049	0.006508623	0.007092199	0.007860248	0.003636364	0.049179413	0.017670558	0.013097219	0.003875969	0.007446104	0.019984233	0.420300481	0.15715606	0.201830053	0.239448803	0.029378931	0.01480323	0.004883275	0.009666194	0.001709402	0.009224341	0.009138996	0.01236551	0	0	0.000764526	0.003546099	0.003636364	0.00440089	0.005614282	0.001536098
species021	0.015112613	0.01572106	0.006752137	0.022755065	0.012844182	0.016639205	0.019605533	0.00769923	0.01878555	0.044900466	0.032636002	0.008939974	0.030507018	0.023623237	0.020008933	0.03743571	0.016819507	0.014827586	0.033949536	0.01741826	0.021850176	0.010130515	0.010150728	0.014660532	0.021837913	0.022897938	0.006385696	0.022616968	0.034872915	0.025081095	0.015398461	0.012771392	0.025579179	0.027173684	0.033522985	0.023803956	0.023206877	0.019229878	0.020081724	0.012807787
species022	0	0.007751938	0	0	0.007751938	0	0	0	0	0	0	0	0	0	0.007751938	0.003875969	0	0	0	0.003875969	0.003875969	0	0.003875969	0	0	0	0	0	0	0.007751938	0.003875969	0	0	0.003875969	0	0	0	0	0	0
species023	0.010582011	0.026455026	0.005291005	0.015873016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007936508	0.007936508	0.007936508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species024	0.003952569	0.007905138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007905138	0	0.003952569	0.011857708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003952569	0
species025	0.065789024	0.087838496	0.056545787	0.062875324	0.095014764	0.098106737	0.162747562	0.104004675	0.116518084	0.109090501	0.108115321	0.115834021	0.129132507	0.088356764	0.054380092	0.082785737	0.124645508	0.107600721	0.116856869	0.11290062	0.1216778	0.033766993	0.039129156	0.043612584	0.136297821	0.102452483	0.126510766	0.169790323	0.055323332	0.112816307	0.126653481	0.111486189	0.103640433	0.108089983	0.133285129	0.088284975	0.114889	0.104286667	0.138614887	0.094344628
species026	0.014084507	0.01971831	0.008450704	0.011267606	0.005633803	0	0	0	0	0	0.005633803	0	0	0	0.011267606	0	0	0	0	0	0.008450704	0.002816901	0.008450704	0.008450704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species027	0.00280112	0.008403361	0	0	0.00280112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016806723	0	0.00280112	0.008403361	0	0	0	0	0	0.00280112	0	0	0	0	0	0	0	0	0.00280112	0
species028	0.007017544	0.003508772	0.003508772	0.010526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003508772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species029	0	0.003546099	0.007092199	0	0	0.003546099	0	0	0	0.003546099	0	0	0	0	0	0.003546099	0.003546099	0	0	0	0.007092199	0.010638298	0.014184397	0.010638298	0	0	0	0	0	0	0	0	0	0	0.003546099	0	0	0	0	0
species030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003745318	0	0	0	0.003745318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007692308	0	0	0	0	0	0	0	0	0	0.003846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species032	0.002840909	0.018340046	0.002840909	0.014204545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002840909	0	0.005681818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species033	0.004987531	0	0	0	0	0	0.007481297	0.009975062	0.009975062	0.002493766	0	0.007481297	0.017456359	0.012468828	0.014962594	0.009975062	0.012468828	0.012468828	0.002493766	0.004987531	0.002493766	0	0.007481297	0	0.007481297	0.004987531	0.007481297	0.004987531	0.012468828	0.007481297	0.002493766	0.012468828	0.009975062	0	0.02244389	0.007481297	0	0.009975062	0.004987531	0.012468828
species034	0.011131725	0.003710575	0.011131725	0.009276438	0.005352892	0.006575905	0.006198137	0.005565863	0.00434285	0.005565863	0.011805536	0.011764	0.003710575	0.00434285	0.012938838	0.001855288	0.005565863	0.015893879	0.019858961	0.001855288	0.014842301	0.020408163	0.011131725	0.014842301	0.001855288	0.011173262	0.002487562	0.008053425	0.006830412	0.003710575	0.00286533	0.013028549	0.006198137	0.015261604	0.015474575	0.00434285	0.010540987	0.020779292	0.014251562	0
species035	0	0	0	0	0.007462687	0.003731343	0.003731343	0.01119403	0.01119403	0	0	0	0	0.01119403	0.007462687	0.003731343	0	0.003731343	0	0.003731343	0	0	0	0	0	0	0.003731343	0	0	0	0.007462687	0.003731343	0.003731343	0.01119403	0.003731343	0.003731343	0.003731343	0	0.007462687	0
species036	0	0	0	0	0.013317152	0.0152589	0.009433657	0.013042071	0.005825243	0.005550162	0	0.001941748	0.018592233	0.01276699	0.016100324	0.046121484	0.022200647	0.009158576	0.007491909	0.01276699	0	0	0	0	0.013317152	0.006215252	0.017200647	0.011100324	0.010550162	0.014433657	0.007216828	0.013042071	0.009823666	0.016375405	0.015825243	0.018042071	0.015550162	0.014158576	0.014158576	0.022040495
species037	0.010791367	0.003597122	0.007194245	0.001798561	0	0	0.005395683	0.003597122	0.003597122	0.003597122	0	0	0	0	0	0	0	0.001798561	0.001798561	0.001798561	0.008992806	0.001798561	0	0	0.005395683	0	0	0.001798561	0.005395683	0.003597122	0.001798561	0.001798561	0	0.003597122	0.005395683	0	0	0.001798561	0.001798561	0.001798561
species038	0	0	0	0	0.009357901	0.00286533	0.012985142	0.011235955	0.007394953	0.003649635	0	0.002747253	0.007394953	0.014694223	0.003649635	0	0.005612582	0	0	0	0	0	0	0	0	0.009262217	0.006610648	0	0	0.003745318	0.003649635	0.003649635	0	0.003649635	0.016775247	0.007490637	0	0	0.005612582	0.002747253
species039	0.024127142	0.01634194	0.026171595	0.025625368	0.017900442	0.028288366	0.03031931	0.019810018	0.039511053	0.059032005	0.053623039	0.031075939	0.023063141	0.052536648	0.023239051	0.014984893	0.016767523	0.047654632	0.036382477	0.03400626	0.04594633	0.015736357	0.009004821	0.025862295	0.010138089	0.01496959	0.011644597	0.009987276	0.029255438	0.018806986	0.039721738	0.032760477	0.027001137	0.011004147	0.023328908	0.014657512	0.040571807	0.033552182	0.025596446	0.020014618
species040	0.057317689	0.06940872	0.106707366	0.045545808	0	0.003322259	0.009584665	0	0.00295858	0	0.00623053	0.003194888	0	0.006153468	0.00295858	0	0	0.00623053	0.003194888	0.006389776	0.024288011	0.00295858	0.003030303	0.012158312	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003115265	0	0
species041	0	0	0	0	0	0	0	0	0	0	0	0.002857143	0.002857143	0	0	0	0	0	0.008571429	0.017142857	0	0	0.002857143	0	0	0	0	0	0	0	0	0	0	0.002857143	0	0.002857143	0	0	0	0
species042	0	0	0	0	0.00619195	0	0.009438704	0	0.012534679	0.003095975	0.006493506	0.00619195	0.003095975	0.003246753	0.003095975	0.006493506	0	0.009438704	0.009287926	0.003095975	0	0	0	0	0.009438704	0.003095975	0.003246753	0.018575851	0.003095975	0	0.009438704	0	0.00974026	0.012987013	0.00974026	0	0.003246753	0.003095975	0.012836235	0.015479876
species043	0.044692629	0.058680799	0.06809763	0.013908042	0	0	0.007220217	0	0.004048583	0	0.003610108	0	0	0	0.033135846	0.003610108	0	0	0	0.007220217	0.009978828	0.018408224	0	0.00132626	0	0.003610108	0	0	0	0	0	0.004048583	0	0.004048583	0.020242915	0	0	0	0	0
species044	0.056028362	0.079259293	0.108013915	0.027949964	0	0.005605056	0.00330033	0.007407407	0.002053388	0.00330033	0.00330033	0	0.003322259	0.003861004	0.017630371	0.007722008	0	0	0	0.00330033	0.024473478	0.002053388	0	0.003571429	0	0.00286533	0.003703704	0	0.003663004	0	0.003703704	0	0	0	0.002053388	0.003703704	0	0	0	0
species045	0.038076648	0.0433512	0.056422756	0.021394258	0.003597122	0	0.004914005	0	0.010791367	0.011029412	0.007371007	0	0	0	0.006182736	0	0.006054125	0	0.003676471	0.012316209	0.039202334	0.018396431	0.024728864	0.022211361	0	0.019251139	0.003676471	0.002506266	0.003597122	0.012175554	0.003676471	0	0.011029412	0	0.003676471	0	0.024565089	0	0	0.010870715
species046	0.026896765	0.007792208	0.026279603	0.005194805	0.005347594	0.007868602	0	0	0	0	0.002597403	0	0	0	0	0	0	0	0	0	0.007792208	0	0.002597403	0.009016518	0	0	0	0	0	0.002597403	0	0	0.002597403	0	0	0	0	0	0	0
species047	0.002915452	0.006162205	0	0	0	0	0	0	0	0	0	0	0	0.003030303	0	0.015151515	0	0.006060606	0	0	0.005830904	0.002915452	0	0	0	0.003030303	0	0	0	0	0	0	0	0	0.003030303	0	0	0	0	0
species048	0.004952321	0.008850956	0	0.011695906	0	0	0	0	0	0	0	0	0	0	0	0.001949318	0	0	0	0	0.017184737	0.005007422	0.001949318	0.007797271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species049	0.017613134	0.008345262	0.003756751	0.01941297	0.049540552	0.034611296	0.06914563	0.035397365	0.040063205	0.061690061	0.026064073	0.07943463	0.030085873	0.079292406	0.031295255	0.019566601	0.037689414	0.027114936	0.051700281	0.04197826	0.032940431	0.019184624	0.010950981	0.004385965	0.044563514	0.026039833	0.020729413	0.045421616	0.039534025	0.05993017	0.046754581	0.051872094	0.031616387	0.044204676	0.062568562	0.029201542	0.036930544	0.034595635	0.040031897	0.051127809
species050	0.05787037	0.027233115	0.031638782	0.030092593	0	0	0	0	0.002314815	0.00462963	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003861004	0	0	0	0	0	0.002314815	0.002314815	0	0	0	0	0	0	0	0	0
species051	0.019668363	0.020738892	0.011368093	0.010971158	0.012029224	0.011741105	0.013219594	0.006622517	0.015249311	0.0108343	0.008914914	0.010173168	0.018448513	0.018667146	0.022604961	0.008914914	0.015910442	0.006995528	0.010370917	0.008296228	0.059870826	0.010904711	0.040739259	0.04446829	0	0	0.003838772	0.001919386	0.006376843	0.010173168	0.004745577	0.002538071	0.009596929	0.002074689	0.006532146	0.002538071	0.008606834	0.002538071	0.004457457	0
species052	0.020222608	0.026829646	0.014222812	0.01650787	0	0	0.003773585	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010589497	0.007233793	0.003355705	0.006711409	0	0	0	0	0	0	0	0.006711409	0	0	0.007233793	0.003773585	0	0	0	0
species053	0.006153846	0.00308642	0.006163343	0.012326686	0.007141964	0.003076923	0.009933796	0.012163382	0.005306509	0.020171676	0.012317189	0.009615385	0.029760481	0.020904831	0.01332913	0	0.020520215	0.011273644	0.021541237	0.037109866	0.012307692	0.006153846	0.009611619	0.006153846	0.027071365	0	0.012277564	0.006163343	0.016648897	0.00204918	0.008906053	0.003076923	0.022309324	0.019545414	0.024993749	0.00735569	0.008872733	0.011959153	0.016733545	0.009240266
species054	0	0	0.002923977	0	0	0	0	0	0.002923977	0	0	0	0	0	0	0	0	0	0	0	0	0.005847953	0	0	0	0.002923977	0	0	0	0	0	0	0	0	0.00877193	0	0	0	0	0
species055	0.015576324	0.003436426	0.003115265	0.013745704	0.006009572	0.009194286	0.002824859	0.002824859	0.003184713	0.005649718	0.012378999	0.002824859	0.002824859	0.003115265	0	0.005649718	0	0.005649718	0	0.003184713	0	0	0.003115265	0.003115265	0.01165929	0.003184713	0.002824859	0	0.003184713	0.002824859	0.002824859	0	0.003184713	0.002824859	0.006009572	0.003184713	0	0	0.002824859	0
species056	0	0	0	0	0	0	0	0.003344482	0.003344482	0	0	0	0	0.003344482	0	0.006688963	0.006688963	0	0	0	0	0	0	0	0	0.003344482	0.003344482	0.003344482	0	0	0	0	0	0	0	0	0.003344482	0	0	0
species057	0.018248175	0.010948905	0	0	0	0	0	0	0	0	0	0	0.003649635	0.003649635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003649635	0	0.003649635	0	0	0	0	0	0	0
species058	0.062478082	0.053942787	0.038982665	0.058039052	0.017374427	0.009558068	0.014785958	0.01498442	0.014289258	0.013108472	0.023370525	0.004796163	0.044816145	0.024723079	0.014804776	0.03326064	0.022124766	0.022675364	0.015290297	0.025073445	0.038604576	0.02386162	0.018326873	0.014373681	0.007690944	0.004696932	0.017541969	0.006047717	0.004796163	0.021449245	0.002398082	0.01645462	0.020835038	0.009558068	0.023980625	0.012487107	0.016388912	0.015640043	0.002994012	0.01182266
species059	0.015433499	0.035925922	0.039061815	0.035229289	0	0	0	0.007518797	0	0	0.003717472	0	0.003717472	0	0	0.002695418	0.002695418	0.007476871	0.003759398	0.002695418	0.055050394	0.017648562	0.009043828	0.024927481	0	0	0.002695418	0	0	0.002695418	0	0	0	0.003378378	0	0	0	0	0	0
species060	0.086892695	0.085924325	0.035471215	0.068089084	0.005210759	0	0	0	0.002222222	0.010474679	0	0.007438645	0.003802281	0	0.004219409	0.010421518	0	0	0	0	0.074751783	0.052033802	0.038990006	0.033963978	0	0	0	0.003636364	0	0	0	0	0	0	0.00140647	0.001992032	0	0	0.006666667	0
species061	0.003095975	0.004901961	0	0.009287926	0.001851852	0.007407407	0.009803922	0	0.001851852	0.003703704	0.001851852	0.019607843	0.001851852	0.009259259	0	0	0.001851852	0.003703704	0.005555556	0	0	0	0.003095975	0	0.001851852	0.001851852	0.001851852	0.007407407	0	0	0.001851852	0.001851852	0.001851852	0	0.001851852	0	0.014814815	0.014814815	0	0.005555556
species062	0.002469136	0.007407407	0.00245098	0.004920116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006060606	0	0.020608302	0.007862248	0.010295073	0.028452395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006060606
species063	0.003424658	0.010273973	0.006849315	0.003424658	0.002392344	0.002392344	0.011023187	0.004784689	0.003846154	0.01777696	0.007177033	0.004784689	0	0.004784689	0	0.003424658	0.004784689	0.007177033	0	0.004784689	0.003424658	0.003424658	0.003424658	0.010273973	0	0.004784689	0.019138756	0.002392344	0.002392344	0.009569378	0.009569378	0	0.002392344	0.002392344	0	0	0.004784689	0.002392344	0.004784689	0.002392344
species064	0.002967359	0.008902077	0.002967359	0	0.003174603	0	0.006141962	0.013275613	0.006541607	0	0.009701366	0.003367003	0.016242972	0.013068369	0	0	0	0.006541607	0.012668725	0.025559538	0	0.005934718	0.002967359	0	0.012668725	0.009701366	0.011869436	0.006541607	0.006334362	0.006541607	0.006734007	0.009701366	0.012491169	0	0.009701366	0.003367003	0.005934718	0.016035728	0.016642617	0.027520364
species065	0	0	0.002570694	0	0.002570694	0.002570694	0	0	0.00955414	0.00621118	0.025977475	0	0.022705137	0.007092199	0.002570694	0.018539154	0.006651689	0.015072178	0.005676284	0.006290303	0	0	0	0	0.009222383	0.00310559	0.007092199	0.008860998	0	0	0	0	0	0.003546099	0.003546099	0.007712082	0.010276912	0	0	0
species066	0.007168459	0	0	0.010752688	0.005089059	0.007633588	0.010178117	0.012722646	0.015267176	0.043256997	0.064652932	0.053435115	0.010178117	0.015267176	0.002544529	0.002544529	0.010178117	0.002544529	0.005089059	0.010178117	0.007168459	0	0	0	0.010178117	0.005089059	0.002544529	0	0	0.020356234	0.010178117	0.002544529	0.005089059	0.005089059	0	0.010178117	0.002544529	0.013762346	0.005089059	0.006128759
species067	0.030906098	0.041827255	0.022509422	0.028476229	0.024448278	0.019942056	0.034667526	0.029332703	0.015590221	0.03047219	0.017356079	0.008372151	0.045191122	0.020170532	0.025951624	0.051837685	0.021875299	0.034534155	0.032666042	0.036313114	0.075568111	0.028691534	0.013553504	0.053222376	0.012835674	0.002369668	0.025036334	0.022753381	0.0132939	0.031054571	0.019456446	0.02885661	0.061332697	0.023195772	0.038641283	0.031888673	0.015749522	0.017654138	0.018693093	0.037016743
species068	0.01369863	0	0.002283105	0.005291005	0	0	0	0	0.006734007	0	0	0	0	0.003367003	0.003367003	0.016835017	0.003367003	0	0.003367003	0.006734007	0	0.002283105	0.002283105	0.006849315	0.003367003	0.003367003	0	0.003367003	0	0	0	0	0	0	0.003367003	0	0	0.003367003	0	0
species069	0.005050505	0	0	0	0.005050505	0	0	0	0	0.015151515	0.02020202	0	0	0	0	0	0	0	0	0.01010101	0.032125118	0	0.003676471	0.010814194	0	0	0	0	0	0	0	0	0	0	0.01010101	0	0	0	0.01010101	0
species070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species071	0.042483487	0.019907966	0.00698974	0.024852716	0	0	0	0.003875969	0.003875969	0	0.005920959	0.003875969	0	0	0	0.007751938	0.007751938	0	0.003875969	0	0.035622709	0.015895507	0.0266655	0.026716943	0	0	0	0.003875969	0	0	0	0	0	0	0	0.003875969	0	0	0	0
species072	0.00617284	0.002114165	0.00308642	0.009259259	0.048515934	0.061568174	0.024885025	0.034767825	0.020954126	0.019744882	0.011878603	0.025727011	0.028800961	0.013114754	0.035285445	0.049039772	0.044015977	0.049328963	0.0403978	0.046514491	0.00308642	0.00308642	0.00617284	0.00617284	0.028820405	0.00979936	0.02028167	0.016180136	0.023161266	0.010928962	0.017900767	0.022849622	0.025078113	0.020797297	0.056885815	0.020321688	0.020849784	0.04798847	0.025571287	0.037797625
species073	0.007352407	0.010883384	0	0.00929368	0.010531814	0.007000838	0.014001675	0	0.001776199	0.010553235	0.007000838	0.005224639	0.00344844	0.010033445	0.010449277	0.008859574	0.001776199	0.011913602	0.006896879	0	0.011152416	0.007434944	0.007352407	0	0.005224639	0.001776199	0.007104796	0.003634935	0.005120681	0.008880995	0.003552398	0.005120681	0.00856912	0.001776199	0.008777037	0.005016722	0.005016722	0.005120681	0.010345319	0.00344844
species074	0.006603402	0.028492918	0.031813486	0.029214728	0.011833571	0.003875969	0	0	0	0.00280112	0.00280112	0.004702261	0	0	0	0.004702261	0.001901141	0	0.006677089	0.00947821	0.034995139	0.013105622	0.005602241	0.008403361	0.001901141	0	0.007751938	0.00280112	0.004702261	0	0.003875969	0.005602241	0	0.00280112	0.003875969	0.004081633	0.003875969	0	0.008504543	0.001901141
species075	0.005218163	0.021844633	0.019643891	0.010114203	0	0.002717391	0	0	0	0	0	0	0	0	0.008796419	0	0.005434783	0	0.002717391	0	0.01393276	0.006535948	0.004357298	0.003039514	0.002717391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species076	0	0.003039514	0.012158055	0.006079027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species077	0.056583969	0.073070506	0.044041315	0.034097773	0.006060606	0.010883119	0	0	0.001212121	0.003636364	0.001212121	0.006703848	0.003636364	0.004684343	0.011559894	0.015622652	0.007272727	0.001212121	0.006060606	0.002424242	0.086554702	0.027583415	0.061587832	0.038654059	0	0.006990452	0.003174603	0.001212121	0.001212121	0.005829916	0.004848485	0	0	0	0.003355705	0	0	0.003472222	0.005103172	0.003636364
species078	0.021688625	0.0570105	0.012168132	0.02010571	0	0	0.003521127	0	0	0	0.003514938	0	0	0.008787346	0	0	0	0	0.004484305	0	0.038224598	0.018329076	0.025922313	0.010268167	0	0.003521127	0.005272408	0.003514938	0.00209205	0	0.005606989	0	0.001757469	0.004444444	0.004444444	0.01056338	0	0	0	0
species079	0	0	0	0	0	0	0	0.003846154	0.011538462	0	0.003846154	0	0.003846154	0	0	0	0	0	0	0	0.003846154	0.007692308	0	0	0	0	0	0	0	0.003846154	0	0	0	0	0	0	0	0	0	0
species080	0.013468013	0.012345679	0.015712682	0.008417508	0	0	0	0	0	0.000561167	0	0	0	0	0	0	0	0	0	0	0.025252525	0.017957351	0.012906846	0.019079686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
species081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003448276	0	0	0	0	0	0	0
species082	0	0	0	0	0	0	0.014888337	0.017369727	0.00248139	0.00248139	0.004962779	0.004962779	0	0.007444169	0	0.00248139	0	0	0	0.004962779	0	0	0	0	0.00248139	0.004962779	0.00248139	0.004962779	0	0.00248139	0.00248139	0.004962779	0	0.00248139	0	0.00248139	0.00248139	0	0	0
species083	0.022705474	0.010526316	0.025957634	0.030647343	0.007968631	0.002105263	0	0	0.004237288	0	0	0	0	0	0	0	0.003424658	0	0.006849315	0	0.018468185	0.012152396	0.016416446	0	0	0.002105263	0.007635184	0.003424658	0	0.002105263	0	0.018432327	0	0	0	0	0.003424658	0	0.006849315	0
species084	0	0	0	0	0.003759398	0.003759398	0	0	0.007518797	0	0.022556391	0	0	0	0.007518797	0.003759398	0.007518797	0.007518797	0.003759398	0	0	0	0	0	0	0	0.003759398	0.003759398	0	0	0.003759398	0	0	0	0	0	0	0.007518797	0	0
species085	0.003508772	0.007017544	0.01754386	0	0	0	0.003508772	0	0	0	0.003508772	0	0.010526316	0.007017544	0	0.007017544	0.010526316	0	0	0.003508772	0.003508772	0.003508772	0.003508772	0.003508772	0.003508772	0	0	0	0	0.003508772	0.010526316	0	0	0	0	0.003508772	0.014035088	0	0.014035088	0.003508772
species086	0.017592485	0.026461664	0	0.010964912	0.004385965	0.002192982	0	0	0	0	0	0	0	0.003861004	0	0	0.002192982	0	0	0	0.010964912	0	0.002192982	0	0	0	0	0	0	0.002192982	0.004385965	0	0	0	0	0	0	0	0	0.002192982
species087	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005865103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
